Name, Color, Rarity, # Seen, ALSA, # Picked, ATA, # GP, GP WR, # OH, OH WR, # GD, GD WR, # GIH, GIH WR, # GND, GND WR, IWD
Wash Away, U, U, 103646, 6.40, 12670, 9.53, 18165, 51.5, 3093, 49.3, 6426, 53.1, 9519, 51.8, 9219, 51.5, 0.3
Whispering Wizard, U, U, 63209, 3.61, 17408, 4.38, 67120, 55.0, 13052, 55.3, 25464, 55.9, 38516, 55.7, 32809, 54.3, 1.4
Winged Portent, UG, R, 28771, 4.83, 4019, 7.09, 3411, 52.1, 518, 46.1, 957, 48.7, 1475, 47.8, 1964, 55.3, -7.5
Witness the Future, U, U, 107231, 6.69, 14852, 9.58, 18763, 52.4, 3365, 48.2, 7450, 56.3, 10815, 53.8, 9299, 52.6, 1.2
Wretched Throng, U, C, 284969, 6.34, 49864, 8.60, 58371, 54.4, 24559, 54.8, 70376, 54.8, 94935, 54.8, 14403, 53.4, 1.4
Aim for the Head, B, C, 314890, 7.62, 33784, 11.34, 17199, 52.0, 3010, 50.6, 5596, 51.2, 8606, 51.0, 8909, 52.7, -1.7
Archghoul of Thraben, B, U, 77695, 4.37, 14268, 5.78, 46194, 53.8, 9795, 53.2, 18230, 54.4, 28025, 54.0, 21757, 54.0, 0.1
Bleed Dry, B, C, 120167, 2.50, 54230, 2.82, 207830, 55.6, 48390, 55.5, 95859, 59.0, 144249, 57.8, 90898, 53.4, 4.5
Blood Fountain, B, C, 274995, 5.67, 46211, 7.87, 162614, 54.7, 30189, 51.9, 53226, 54.9, 83415, 53.8, 82804, 55.5, -1.7
Bloodcrazed Socialite, B, C, 228372, 4.51, 44620, 6.04, 147168, 55.6, 33233, 56.6, 68344, 56.4, 101577, 56.5, 65346, 54.5, 2.0
Bloodsworn Squire, B, U, 77773, 4.61, 9199, 6.78, 23446, 51.4, 3951, 47.4, 8255, 50.0, 12206, 49.2, 12159, 52.9, -3.8
Bloodvial Purveyor, B, R, 7341, 1.30, 5740, 1.27, 30393, 57.6, 5257, 64.4, 11552, 61.7, 16809, 62.5, 15426, 52.7, 9.8
Catapult Fodder, B, U, 69896, 4.06, 14334, 5.24, 43983, 53.3, 9382, 53.7, 17972, 55.7, 27354, 55.0, 20580, 51.7, 3.3
Cemetery Desecrator, B, M, 3648, 1.31, 3025, 1.29, 16316, 57.8, 2632, 62.2, 5917, 65.6, 8549, 64.5, 8338, 52.2, 12.4
Concealing Curtains, B, R, 9425, 1.70, 5988, 1.68, 29689, 56.9, 5411, 64.8, 10267, 58.4, 15678, 60.6, 15225, 53.7, 6.9
Courier Bat, B, C, 258416, 5.15, 42451, 7.20, 121099, 54.7, 27423, 52.9, 56370, 56.0, 83793, 55.0, 54047, 54.9, 0.1
Demonic Bargain, B, R, 35008, 5.76, 4734, 8.68, 88, , 15, , 23, , 38, , 50, , 
Desperate Farmer, B, C, 224710, 4.28, 42589, 5.88, 155981, 54.5, 35139, 54.2, 69378, 55.5, 104517, 55.0, 71715, 54.1, 1.0
Diregraf Scavenger, B, C, 221334, 4.29, 53741, 5.53, 194120, 55.6, 44481, 53.8, 95451, 58.5, 139932, 57.0, 84650, 54.3, 2.7
Doomed Dissenter, B, C, 262104, 5.24, 42829, 7.28, 128705, 54.4, 31164, 55.7, 56063, 54.3, 87227, 54.8, 57054, 53.7, 1.1
Dread Fugue, B, U, 107250, 6.74, 10191, 10.64, 4161, 49.2, 763, 49.4, 1285, 47.9, 2048, 48.5, 2181, 50.0, -1.5
Dreadfeast Demon, B, R, 7116, 1.27, 6122, 1.25, 34227, 58.2, 5771, 64.2, 12134, 67.3, 17905, 66.3, 16987, 49.9, 16.5
Dying to Serve, B, R, 19823, 3.50, 4039, 4.18, 9714, 50.7, 1702, 45.8, 3052, 47.8, 4754, 47.1, 5048, 54.1, -7.0
Edgar's Awakening, B, U, 84058, 4.76, 13268, 6.70, 39825, 53.9, 6449, 50.3, 13445, 53.2, 19894, 52.3, 20657, 55.4, -3.2
Falkenrath Forebear, B, R, 8669, 1.56, 5591, 1.53, 27963, 55.7, 5205, 59.6, 8998, 57.1, 14203, 58.0, 14431, 53.6, 4.4
Fell Stinger, B, U, 43744, 2.49, 17654, 2.86, 83172, 55.9, 16248, 58.0, 32341, 58.7, 48589, 58.5, 40782, 53.8, 4.7
Gift of Fangs, B, C, 234630, 4.61, 39683, 6.33, 138437, 54.7, 29275, 53.3, 51038, 55.0, 80313, 54.4, 65875, 54.7, -0.4
Gluttonous Guest, B, C, 236719, 4.62, 49603, 6.18, 167195, 55.2, 40837, 54.7, 73879, 55.3, 114716, 55.1, 74859, 55.0, 0.1
Graf Reaver, B, R, 21833, 3.68, 3477, 4.99, 9655, 53.0, 1720, 56.2, 3054, 51.1, 4774, 52.9, 5087, 53.3, -0.3
Grisly Ritual, B, C, 252125, 5.06, 41345, 7.12, 141388, 54.7, 24761, 52.5, 52706, 56.2, 77467, 55.0, 70506, 54.4, 0.6
Groom's Finery, B, U, 110273, 7.02, 12225, 10.59, 5492, 50.2, 951, 48.9, 1658, 50.1, 2609, 49.7, 2947, 50.6, -0.9
Headless Rider, B, R, 10518, 1.91, 5399, 1.87, 25750, 55.1, 4730, 57.8, 9015, 57.1, 13745, 57.3, 13031, 53.4, 3.9
Henrika Domnathi, B, M, 3293, 1.20, 2805, 1.19, 15307, 58.8, 2680, 66.6, 5781, 66.0, 8461, 66.2, 7751, 51.8, 14.3
Hero's Downfall, B, U, 33300, 1.97, 16337, 2.18, 78916, 55.7, 14590, 55.2, 29192, 58.8, 43782, 57.6, 39245, 54.0, 3.6
Innocent Traveler, B, U, 60548, 3.50, 11046, 4.62, 44181, 53.9, 7789, 54.8, 16206, 53.8, 23995, 54.1, 22565, 53.6, 0.5
Mindleech Ghoul, B, C, 286507, 6.05, 40341, 8.69, 99961, 53.9, 22890, 52.5, 41682, 53.7, 64572, 53.3, 45352, 54.4, -1.1
Parasitic Grasp, B, U, 43221, 2.44, 19187, 2.77, 90309, 56.8, 17864, 58.8, 33297, 60.0, 51161, 59.6, 43960, 54.0, 5.6
Path of Peril, WB, R, 12193, 2.21, 4312, 2.28, 15615, 53.2, 2646, 50.7, 5048, 57.0, 7694, 54.8, 8065, 51.7, 3.1
Persistent Specimen, B, C, 288173, 6.20, 35873, 9.04, 78353, 53.5, 15822, 53.6, 27943, 52.8, 43765, 53.1, 38248, 53.5, -0.4
Pointed Discussion, B, C, 289423, 6.20, 43688, 8.69, 120885, 55.9, 23493, 55.2, 40893, 56.9, 64386, 56.3, 61234, 55.7, 0.6
Ragged Recluse, B, C, 268708, 5.40, 50381, 7.35, 147516, 55.2, 36721, 55.5, 68983, 54.3, 105704, 54.7, 63991, 55.9, -1.1
Restless Bloodseeker, B, U, 52101, 2.97, 15582, 3.60, 67972, 55.2, 13765, 56.2, 26054, 56.0, 39819, 56.1, 33328, 54.5, 1.6
Rot-Tide Gargantua, B, C, 259412, 5.26, 38823, 7.47, 120539, 54.5, 23217, 53.8, 52631, 56.3, 75848, 55.6, 55572, 53.9, 1.7
Skulking Killer, B, U, 97499, 5.81, 9908, 9.06, 12916, 52.8, 2198, 52.0, 4386, 53.7, 6584, 53.1, 6782, 52.7, 0.5
Sorin the Mirthless, B, M, 3138, 1.13, 2749, 1.12, 14624, 57.5, 2512, 65.3, 4592, 62.5, 7104, 63.5, 7584, 51.9, 11.6
Toxrill the Corrosive, UB, M, 3259, 1.16, 2939, 1.15, 16764, 58.7, 2788, 64.4, 6368, 68.6, 9156, 67.3, 8126, 49.8, 17.5
Undead Butler, B, U, 71113, 3.85, 16386, 5.00, 68987, 55.1, 13675, 56.4, 24432, 55.4, 38107, 55.8, 33672, 54.3, 1.4
Undying Malice, B, C, 295341, 6.38, 38380, 9.36, 94409, 55.1, 16117, 54.2, 32766, 55.3, 48883, 54.9, 48151, 55.4, -0.4
Unhallowed Phalanx, B, C, 311135, 7.59, 33086, 11.23, 22504, 50.9, 4709, 49.4, 9555, 51.2, 14264, 50.6, 10462, 50.9, -0.4
Vampire's Kiss, B, C, 310377, 7.47, 32524, 11.27, 24726, 51.0, 4733, 48.2, 8389, 51.4, 13122, 50.2, 12436, 51.7, -1.5
Voldaren Bloodcaster, B, R, 8019, 1.48, 5605, 1.45, 29134, 57.5, 5472, 63.4, 10588, 60.7, 16060, 61.6, 14707, 53.7, 7.9
Wedding Security, B, U, 62472, 3.52, 12366, 4.46, 46684, 53.7, 8214, 52.4, 17749, 53.0, 25963, 52.8, 23739, 54.8, -2.0
Abrade, R, C, 131126, 2.67, 56313, 3.04, 218116, 56.8, 54371, 58.5, 88126, 58.0, 142497, 58.2, 99065, 55.0, 3.2
Alchemist's Gambit, UR, R, 27549, 4.60, 4059, 6.68, 4236, 51.7, 647, 50.5, 1368, 51.3, 2015, 51.1, 2269, 52.0, -1.0
Alluring Suitor, R, U, 50873, 2.96, 20833, 3.33, 97579, 57.8, 19708, 61.4, 32326, 57.9, 52034, 59.2, 50454, 56.6, 2.6
Ancestral Anger, R, C, 306358, 7.25, 52859, 9.64, 51814, 55.9, 19788, 54.6, 35591, 57.2, 55379, 56.3, 16207, 57.0, -0.8
Ballista Watcher, R, U, 48103, 2.88, 19607, 3.18, 90401, 56.2, 17047, 55.7, 30992, 56.3, 48039, 56.1, 47469, 56.0, 0.1
Belligerent Guest, R, C, 265271, 5.46, 41792, 7.75, 129892, 55.6, 30062, 55.4, 50087, 53.1, 80149, 54.0, 61912, 57.1, -3.1
Blood Hypnotist, R, U, 82206, 4.63, 14571, 6.26, 48190, 55.1, 9429, 56.1, 16235, 52.8, 25664, 54.0, 24737, 56.2, -2.2
Blood Petal Celebrant, R, C, 239910, 4.70, 49638, 6.31, 167970, 55.8, 42833, 56.7, 67544, 52.7, 110377, 54.2, 76781, 57.0, -2.8
Bloody Betrayal, R, C, 311984, 7.55, 36483, 11.15, 27441, 54.4, 4998, 52.3, 10046, 56.7, 15044, 55.2, 13893, 54.0, 1.2
Cemetery Gatekeeper, R, M, 4654, 1.69, 2414, 1.71, 11310, 55.6, 1945, 56.7, 3225, 54.5, 5170, 55.3, 6283, 55.8, -0.4
Chandra Dressed to Kill, R, M, 4277, 1.57, 2083, 1.57, 7568, 53.1, 1300, 52.3, 2128, 53.7, 3428, 53.2, 4165, 53.0, 0.1
Change of Fortune, R, R, 34491, 5.72, 4489, 8.66, 290, , 47, , 84, , 131, , 159, , 
Creepy Puppeteer, R, R, 10220, 1.88, 5832, 1.87, 29253, 56.3, 5051, 59.0, 8619, 56.1, 13670, 57.2, 16197, 55.8, 1.3
Curse of Hospitality, R, R, 16213, 2.88, 3527, 3.38, 12560, 51.4, 2190, 47.5, 3564, 49.0, 5754, 48.4, 6877, 53.9, -5.5
Daybreak Combatants, R, C, 306051, 7.09, 36851, 10.38, 49619, 53.2, 10558, 50.5, 16365, 50.5, 26923, 50.5, 25510, 55.5, -5.0
Dominating Vampire, R, R, 13880, 2.49, 4700, 2.69, 19607, 55.0, 3333, 53.0, 5912, 54.4, 9245, 53.9, 10733, 56.0, -2.1
End the Festivities, R, C, 322932, 8.52, 34221, 12.48, 4848, 49.8, 919, 50.5, 1550, 46.9, 2469, 48.2, 2540, 51.2, -3.0
Falkenrath Celebrants, R, C, 236459, 4.77, 59068, 5.95, 208864, 56.6, 46346, 56.6, 89062, 56.8, 135408, 56.7, 98005, 56.3, 0.5
Fearful Villager, R, C, 275057, 5.73, 44351, 8.04, 132039, 55.7, 30554, 54.9, 48971, 53.7, 79525, 54.2, 64271, 56.9, -2.7
Flame-Blessed Bolt, R, C, 173114, 3.40, 61099, 3.99, 226242, 57.0, 57041, 59.3, 93067, 57.6, 150108, 58.3, 101344, 55.3, 3.0
Frenzied Devils, R, U, 105362, 6.54, 12499, 9.73, 13004, 51.8, 2224, 50.0, 4250, 49.5, 6474, 49.7, 7002, 53.5, -3.8
Honeymoon Hearse, R, U, 101822, 6.28, 12155, 9.31, 14373, 53.4, 2431, 52.2, 4027, 49.3, 6458, 50.4, 8142, 55.6, -5.3
Hungry Ridgewolf, R, C, 274840, 5.81, 47591, 8.01, 114730, 55.3, 33415, 56.6, 47236, 52.4, 80651, 54.1, 50625, 56.4, -2.3
Ill-Tempered Loner, R, R, 8148, 1.48, 5900, 1.43, 31461, 57.3, 5444, 60.7, 9928, 58.8, 15372, 59.5, 17148, 55.3, 4.1
Into the Night, R, U, 113730, 7.73, 12270, 11.59, 2060, 53.0, 305, 42.6, 532, 50.0, 837, 47.3, 1235, 56.8, -9.4
Kessig Flamebreather, R, C, 283092, 6.34, 53978, 8.12, 113213, 55.8, 34559, 57.2, 57763, 54.3, 92322, 55.4, 44849, 56.2, -0.8
Kessig Wolfrider, R, R, 13492, 2.35, 5207, 2.51, 24323, 55.8, 4313, 57.6, 6846, 54.2, 11159, 55.5, 13475, 55.8, -0.3
Lacerate Flesh, R, C, 260074, 5.34, 39581, 7.65, 116707, 54.0, 21569, 51.1, 39869, 53.1, 61438, 52.4, 60322, 55.2, -2.8
Lambholt Raconteur, R, U, 69404, 4.04, 14421, 5.22, 50668, 53.8, 9641, 52.3, 17436, 52.0, 27077, 52.1, 26357, 55.1, -3.0
Lightning Wolf, R, C, 308300, 7.21, 35439, 10.66, 39319, 53.1, 7188, 50.9, 12484, 51.1, 19672, 51.0, 21309, 54.6, -3.6
Magma Pummeler, R, U, 77930, 4.39, 13055, 6.04, 43220, 53.7, 7564, 51.1, 14023, 53.2, 21587, 52.5, 23379, 54.7, -2.3
Manaform Hellkite, R, M, 3478, 1.26, 2865, 1.25, 14672, 57.3, 2431, 61.5, 4653, 60.0, 7084, 60.5, 8038, 54.4, 6.1
