Name, Color, Rarity, # Seen, ALSA, # Picked, ATA, # GP, GP WR, # OH, OH WR, # GD, GD WR, # GIH, GIH WR, # GND, GND WR, IWD
Skyswimmer Koi, U, C, 300217, 5.61, 45591, 8.07, 164717, 54.5, 27075, 53.5, 49185, 57.3, 76260, 55.9, 88641, 53.3, 2.7
Spell Pierce, U, C, 356385, 8.86, 37516, 12.86, 10744, 52.3, 1761, 49.3, 3004, 53.6, 4765, 52.0, 5984, 52.5, -0.5
Suit Up, U, C, 341043, 7.46, 58567, 9.88, 169327, 57.4, 27840, 56.4, 50584, 60.3, 78424, 58.9, 90961, 56.1, 2.8
Tameshi Reality Architect, WU, R, 13794, 1.91, 9020, 1.86, 47561, 57.0, 8087, 58.9, 14574, 65.6, 22661, 63.2, 24959, 51.4, 11.8
Tamiyo's Compleation, U, C, 250428, 4.46, 49832, 6.12, 241636, 55.2, 39376, 52.8, 77762, 58.6, 117138, 56.7, 124607, 53.9, 2.8
Tezzeret Betrayer of Flesh, U, M, 5095, 1.36, 3345, 1.32, 15373, 54.3, 2617, 56.0, 4481, 59.2, 7098, 58.0, 8281, 51.2, 6.8
Thirst for Knowledge, U, U, 113073, 5.17, 18753, 7.10, 62861, 53.8, 10731, 50.9, 18430, 56.4, 29161, 54.4, 33729, 53.3, 1.0
Thousand-Faced Shadow, U, R, 16150, 2.17, 6798, 2.25, 32727, 55.3, 5690, 56.6, 9739, 56.7, 15429, 56.6, 17315, 54.1, 2.5
Assassin's Ink, B, U, 50389, 2.32, 20695, 2.64, 113060, 56.2, 18843, 56.0, 30135, 59.6, 48978, 58.2, 64124, 54.7, 3.5
Biting-Palm Ninja, B, R, 11790, 1.59, 8141, 1.58, 45583, 58.0, 7887, 63.7, 12385, 60.7, 20272, 61.9, 25342, 54.9, 6.9
Blade of the Oni, B, M, 5020, 1.33, 3906, 1.31, 21300, 56.7, 3958, 59.6, 5665, 60.0, 9623, 59.8, 11722, 54.2, 5.6
Chainflail Centipede, B, C, 323620, 6.20, 43109, 9.15, 130503, 53.8, 22049, 52.0, 33159, 53.6, 55208, 53.0, 75388, 54.5, -1.5
Clawing Torment, B, C, 321932, 6.37, 50747, 9.00, 167725, 57.5, 27988, 56.6, 44656, 59.1, 72644, 58.1, 95144, 57.0, 1.1
Debt to the Kami, B, C, 333139, 7.09, 32584, 11.04, 32512, 53.5, 5188, 53.1, 8652, 54.9, 13840, 54.2, 18687, 52.9, 1.3
Dockside Chef, B, U, 88950, 3.80, 22726, 4.90, 111713, 57.1, 19941, 60.1, 29026, 57.7, 48967, 58.7, 62827, 55.8, 2.8
Dokuchi Shadow-Walker, B, C, 313568, 6.07, 46588, 8.78, 160468, 56.4, 25466, 54.9, 43982, 58.5, 69448, 57.2, 91140, 55.7, 1.4
Dokuchi Silencer, B, U, 89133, 3.90, 16096, 5.27, 70977, 54.7, 12334, 53.8, 18491, 54.8, 30825, 54.4, 40185, 55.0, -0.6
